FID_377_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
385539,340699,145986,41,"215897.33","-----",3105,67,2021,9,16,3,39,36,-24.246963,-68.978493,502389.4347,7318778.79,25714.22168,110389.1104,3106.30883789,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385547,361747,167149,47,"219900.08","40162.27",3124,116,2021,9,16,21,36,54,-24.246962,-68.976928,502548.311,7318778.876,25873.09795,110389.1957,3106.08886719,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385533,338582,143869,33,"215517.41","39838.54",3138,70,2021,9,16,1,33,54,-24.246962,-68.978287,502410.3475,7318778.898,25735.13448,110389.2179,3103.48144531,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385525,232579,144793,37,"169706.33","-----",3076,99,2021,8,29,3,43,34,-24.246962,-69.001877,500015.5291,7318779.068,23340.31607,110389.3881,3085.21411133,47,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T31",3.84,"1",""
385517,229952,142166,32,"169253.03","-----",3125,64,2021,8,29,1,22,2,-24.24696,-68.978553,502383.3436,7318779.123,25708.13062,110389.4435,3108.79150391,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385510,228039,140253,42,"168829.78","37528.27",3128,68,2021,8,28,23,54,3,-24.24696,-68.9786,502378.5723,7318779.124,25703.35926,110389.4442,3110.3762207,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385582,539807,90779,14,"259345.08","42978.5",3127,154,2021,9,25,18,29,55,-24.246957,-68.976508,502590.9488,7318779.422,25915.73576,110389.7422,3107.34594727,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385535,338593,143880,34,"215520.55","39838.69",3133,118,2021,9,16,1,34,11,-24.246957,-68.976837,502557.5492,7318779.428,25882.33622,110389.7478,3106.33203125,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385499,182779,67440,41,"150255.09","36487.91",3125,53,2021,8,25,16,37,13,-24.246957,-68.978562,502382.43,7318779.456,25707.21701,110389.7758,3108.56396484,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385496,180890,65551,31,"-----","-----",3075,326,2021,8,25,14,19,35,-24.246957,-69.004348,499764.6772,7318779.616,23089.46416,110389.9361,3075.55761719,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385571,515562,66534,30,"-----","-----",3102,102,2021,9,23,17,54,7,-24.246957,-69.002228,499979.8961,7318779.621,23304.68312,110389.9412,3083.63134766,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385511,228047,140261,44,"168831.51","37528.46",3128,117,2021,8,28,23,54,17,-24.246953,-68.976845,502556.7371,7318779.871,25881.52414,110390.1908,3106.29492188,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
