FID_886_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_en,Bench,Cat_Bench,Rampa,MC,Pendiente,Tramo,Pit,Cat_Zona,Cat_Carga
8905,11874,11988,8,"732169.22","-----",3114,202,2021,8,23,18,49,32,-24.219713,-69.041322,496010.2437,7321795.454,19335.0307,113405.7742,3118.72998047,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8910,13655,13769,9,"732453.56","47809.15",3154,25,2021,8,23,20,39,10,-24.219707,-69.040565,496087.1093,7321796.141,19411.89629,113406.461,3167.33374023,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8904,11873,11987,8,"732169.22","47796.94",3113,201,2021,8,23,18,49,31,-24.219687,-69.041305,496011.969,7321798.333,19336.75603,113408.6534,3118.40820313,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8911,13656,13770,9,"732453.56","-----",3154,21,2021,8,23,20,39,12,-24.219687,-69.040558,496087.8194,7321798.356,19412.60643,113408.6756,3167.67895508,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8903,11872,11986,8,"732169.22","47796.94",3113,206,2021,8,23,18,49,29,-24.21964,-69.041283,496014.2014,7321803.538,19338.98837,113413.8579,3117.89135742,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8912,13657,13771,9,"732453.56","47809.16",3155,18,2021,8,23,20,39,13,-24.219637,-69.040535,496090.1532,7321803.892,19414.94024,113414.2123,3168.24389648,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8906,13569,13683,10,"732429.13","-----",3095,196,2021,8,23,20,35,52,-24.21963,-69.04116,496026.6905,7321804.649,19351.47747,113414.9688,3125.35717773,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
8902,11871,11985,8,"732169.22","47796.94",3113,193,2021,8,23,18,49,28,-24.21962,-69.041275,496015.013,7321805.753,19339.80004,113416.0725,3117.70117188,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8913,13658,13772,9,"732454.34","-----",3156,20,2021,8,23,20,39,14,-24.219617,-69.040527,496090.9649,7321806.107,19415.75192,113416.4269,3168.47558594,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8898,13659,13773,10,"-----","-----",3156,22,2021,8,23,20,39,15,-24.219592,-69.04052,496091.6749,7321808.875,19416.4619,113419.1951,3168.77099609,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8896,11870,11984,8,"732169.22","47796.93",3112,199,2021,8,23,18,49,26,-24.219582,-69.04126,496016.5349,7321809.96,19341.3219,113420.2803,3117.35498047,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8897,11973,12087,11,"732193.05","-----",3162,25,2021,8,23,18,52,52,-24.219572,-69.040482,496095.5328,7321811.091,19420.31978,113421.4106,3169.25244141,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8895,11869,11983,8,"732169.22","47796.93",3112,204,2021,8,23,18,49,25,-24.219563,-69.041252,496017.3466,7321812.064,19342.1336,113422.3842,3117.17480469,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8894,11868,11982,9,"732169.22","-----",3110,193,2021,8,23,18,49,22,-24.219492,-69.041237,496018.8674,7321819.926,19343.65438,113430.2458,3116.32373047,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8899,13660,13774,10,"732455.13","47809.18",3159,25,2021,8,23,20,39,20,-24.219478,-69.040467,496097.0529,7321821.499,19421.83986,113431.8187,3170.00488281,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
8893,11867,11981,9,"732167.81","47796.92",3110,192,2021,8,23,18,49,21,-24.219467,-69.041222,496020.3897,7321822.694,19345.17666,113433.0142,3116.08496094,9,"Out Bench","Out Bench","Main ramp",3,9.57,"RN_T21","ENORTE","INPIT",""
8887,13568,13682,9,"732428.82","47808.55",3092,198,2021,8,23,20,35,46,-24.219453,-69.04113,496029.7309,7321824.247,19354.51791,113434.5671,3123.89672852,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
